model,ablation,metric,world,n_train,site_or_shift,mean_full,mean_ablated,mean_raw_delta,median_raw_delta,sd_raw_delta,mean_oriented_component_benefit,median_oriented_component_benefit,n
flow_jump,no_flow,coverage_90,site_shift,80,site_1_minus_site_0,-0.02585200901179252,0.00633027525785886,0.03218228426965138,0.0361862929557211,0.012194245953265884,-0.03218228426965142,-0.03618629295572118,5
flow_jump_observation,no_flow,coverage_90,site_shift,80,site_1_minus_site_0,-0.02688968609081046,0.006341416793504981,0.03323110288431544,0.0359523266772593,0.013421652063474355,-0.03323110288431545,-0.03595232667725934,5
flow_jump,no_flow,coverage_90,site_shift,100,all,0.9069715820221145,0.9206768408928951,0.013705258870780668,0.01110509846363783,0.0060938127176341185,0.007525574464091323,0.010784291037004401,5
flow_jump_observation,no_flow,coverage_90,site_shift,100,all,0.906125033978063,0.9207471659920472,0.014622132013984235,0.012337184749341645,0.006601637163012278,0.008053272738862916,0.010552868482562316,5
flow_jump,no_flow,coverage_90,site_shift,100,site_0,0.9070358206535121,0.9119775578246585,0.0049417371711465655,0.0036046079524340024,0.00671192953850391,0.0034811426390515265,0.0006878824083124124,5
flow_jump_observation,no_flow,coverage_90,site_shift,100,site_0,0.9065753186126461,0.9120196763895956,0.005444357776949538,0.00427350427350448,0.007100899190642078,0.0037748937509900493,0.001013721443828941,5
flow_jump,no_flow,coverage_90,site_shift,100,site_1,0.8637689086496947,0.9070921931115208,0.043323284461826185,0.03673514714047754,0.013410809052135748,-0.01863934621338461,-0.033078259583749214,5
flow_jump_observation,no_flow,coverage_90,site_shift,100,site_1,0.8612468513853786,0.9070314508891091,0.04578459950373044,0.037440842142509645,0.01820791868860678,-0.021186448413188154,-0.03259768585264866,5
flow_jump,no_flow,coverage_90,site_shift,100,site_1_minus_site_0,-0.043266912003817284,-0.00488536471313772,0.038381547290679566,0.0360472647321649,0.009255843564931653,-0.03838154729067955,-0.0360472647321648,5
flow_jump_observation,no_flow,coverage_90,site_shift,100,site_1_minus_site_0,-0.04532846722726748,-0.00498822550048662,0.04034024172678086,0.0359213146472314,0.013080841350718674,-0.040340241726780836,-0.03592131464723147,5
flow_jump,no_flow,coverage_90,smooth,5,all,0.8747052489252894,0.8911738397556258,0.01646859083033623,0.022245242898424222,0.023305444004625694,-0.010913066344487321,-0.016397922929762276,5
flow_jump_observation,no_flow,coverage_90,smooth,5,all,0.8743000545577722,0.8908765839746664,0.016576529416894248,0.023035821383784905,0.023241698423532752,-0.01144790389817918,-0.017108499590052006,5
flow_jump,no_flow,coverage_90,smooth,10,all,0.8509502022418225,0.8546122325355638,0.0036620302937413474,0.02538960861110351,0.06765098256910436,-0.004224163745107879,-0.02538960861110351,5
flow_jump_observation,no_flow,coverage_90,smooth,10,all,0.8492144202054821,0.8541166049981612,0.004902184792679098,0.029333625482731218,0.06684741827988656,-0.005442187005802945,-0.029333625482731218,5
flow_jump,no_flow,coverage_90,smooth,20,all,0.8650119316056042,0.8803208625322515,0.01530893092664729,0.02622214923085353,0.048837810140097096,-0.009141027973142313,-0.012599070784367394,5
flow_jump_observation,no_flow,coverage_90,smooth,20,all,0.8638437279263147,0.8802330625099085,0.01638933458359366,0.02593738873216289,0.04933880352974925,-0.010068223261122045,-0.01265353546530934,5
flow_jump,no_flow,coverage_90,smooth,40,all,0.9027146747094564,0.8866012257002618,-0.016113449009194668,-0.00207707023777004,0.037918784558777514,-0.011557035296566464,-0.00207707023777004,5
flow_jump_observation,no_flow,coverage_90,smooth,40,all,0.9027122184076063,0.8864083175196338,-0.01630390088797251,-0.0020497403662204094,0.037825892962221996,-0.011224267005381549,-0.0020497403662204094,5
flow_jump,no_flow,coverage_90,smooth,80,all,0.900825026810417,0.9131037286913232,0.012278701880906162,0.011757220316476746,0.005226365100937612,0.003983471720407872,0.004618748291883024,5
flow_jump_observation,no_flow,coverage_90,smooth,80,all,0.8995184769051257,0.9131363970663597,0.013617920161234065,0.01161890007745936,0.00506906434975315,0.0044906616078291385,0.007488384804591353,5
flow_jump,no_flow,coverage_90,smooth,100,all,0.8966640072639247,0.9171572649446492,0.0204932576807245,0.01664389177370862,0.009907824250488913,0.008567316249738078,0.007768106421415566,5
flow_jump_observation,no_flow,coverage_90,smooth,100,all,0.8979392637169898,0.9171900419238449,0.019250778206855168,0.014434006189915416,0.011348054970702183,0.009271647608864342,0.010440010931948684,5
flow_jump,no_flow,event_brier,informative_observation,5,all,0.15388592016209096,0.1497881258699723,-0.004097794292118634,0.002038771831802094,0.033725718883791236,-0.004097794292118634,0.002038771831802094,5
flow_jump_observation,no_flow,event_brier,informative_observation,5,all,0.15402036368864933,0.14959644749133205,-0.004423916197317279,0.0025926049111545113,0.03281977696920094,-0.004423916197317279,0.0025926049111545113,5
flow_jump,no_flow,event_brier,informative_observation,10,all,0.1541344850617489,0.1307331606373328,-0.02340132442441608,-0.023294425205537497,0.017040325618383506,-0.02340132442441608,-0.023294425205537497,5
flow_jump_observation,no_flow,event_brier,informative_observation,10,all,0.1541545106538484,0.13048402503296117,-0.023670485620887218,-0.02621909717287489,0.01621138268069361,-0.023670485620887218,-0.02621909717287489,5
flow_jump,no_flow,event_brier,informative_observation,20,all,0.1306587000429286,0.1368825036324952,0.00622380358956664,0.0008088499484342898,0.009901388480684758,0.00622380358956664,0.0008088499484342898,5
flow_jump_observation,no_flow,event_brier,informative_observation,20,all,0.13076555465368755,0.13690429324964032,0.006138738595952764,0.0008961503006092025,0.009743597242578258,0.006138738595952764,0.0008961503006092025,5
flow_jump,no_flow,event_brier,informative_observation,40,all,0.15585968434791492,0.15705909406088042,0.0011994097129655267,0.0022084977326263244,0.009400399095712083,0.0011994097129655267,0.0022084977326263244,5
flow_jump_observation,no_flow,event_brier,informative_observation,40,all,0.1560365900333463,0.15712824018759602,0.0010916501542497404,0.00231416708095189,0.009334532823056726,0.0010916501542497404,0.00231416708095189,5
flow_jump,no_flow,event_brier,informative_observation,80,all,0.127776620481616,0.12690835877202242,-0.0008682617095935763,0.000369654801921096,0.002860381044603279,-0.0008682617095935763,0.000369654801921096,5
flow_jump_observation,no_flow,event_brier,informative_observation,80,all,0.12739642661883865,0.12696705902350539,-0.00042936759533327985,0.00038935264757140875,0.0021487565237289074,-0.00042936759533327985,0.00038935264757140875,5
flow_jump,no_flow,event_brier,informative_observation,100,all,0.12374328095466343,0.12517319974496358,0.001429918790300136,0.0009349742704131969,0.0028644451382556454,0.001429918790300136,0.0009349742704131969,5
flow_jump_observation,no_flow,event_brier,informative_observation,100,all,0.12378992709059385,0.12524123387943753,0.0014513067888436899,0.0009737782824918995,0.0029637168223810703,0.0014513067888436899,0.0009737782824918995,5
