world,n_train,cohort_seed,subset_seed,model_seed,flow_jump,gru_from_scratch,representation_linear,delta_vs_gru,delta_vs_representation_linear,relative_vs_gru,relative_vs_representation_linear,beats_gru,beats_representation_linear,beats_both
site_shift,100,103,203,303,0.5113661885261536,0.4958305060863495,0.7408091762572687,-0.015535682439804077,0.22944298773111516,-0.031332647445251216,0.30971941909563233,False,True,False
site_shift,100,104,204,304,0.4037676751613617,0.5286607146263123,0.6734583825621446,0.12489303946495056,0.26969070740078294,0.23624422244658774,0.40045638213716456,True,True,True
site_shift,100,105,205,305,0.4860056936740875,0.4516214430332184,0.7148479191992844,-0.03438425064086914,0.22884222552519684,-0.07613511530793292,0.3201271478575858,False,True,False
smooth,5,101,201,301,0.3516337275505066,0.3355317115783691,0.3658315857513969,-0.016102015972137507,0.014197858200890312,-0.04798955036587237,0.038809820567375926,False,True,False
smooth,5,102,202,302,0.3341741859912872,0.3027779161930084,0.452552299896672,-0.03139626979827875,0.11837811390538483,-0.10369405468219461,0.26157885825000393,False,True,False
smooth,5,103,203,303,0.3377593159675598,0.3164938688278198,0.4104685479597627,-0.02126544713973999,0.07270923199220286,-0.06719070804909937,0.17713715789822315,False,True,False
smooth,5,104,204,304,0.3924211263656616,0.3884019255638122,0.4884020991332272,-0.004019200801849421,0.09598097276756556,-0.010348045509854428,0.1965203936221898,False,True,False
smooth,5,105,205,305,0.4178653657436371,0.4046676456928253,0.5078550509263206,-0.013197720050811768,0.08998968518268347,-0.032613726823196236,0.1771956092954939,False,True,False
smooth,10,101,201,301,0.3425774872303009,0.3204764723777771,0.3506579680070145,-0.022101014852523804,0.008080480776713583,-0.06896298716890258,0.02304376775648213,False,True,False
smooth,10,102,202,302,0.3305659592151642,0.2841247022151947,0.3721334597739915,-0.04644125699996948,0.0415675005588273,-0.16345378151877515,0.11170051890542862,False,True,False
smooth,10,103,203,303,0.342727780342102,0.3186186850070953,0.38377344784216,-0.024109095335006714,0.041045667500058,-0.07566755017669423,0.10695285911739116,False,True,False
smooth,10,104,204,304,0.3390527069568634,0.3407026827335357,0.3517074463485345,0.0016499757766723078,0.01265473939167111,0.004842861122883371,0.035980868540185916,True,True,True
smooth,10,105,205,305,0.3353658616542816,0.2772250473499298,0.3746045013096071,-0.05814081430435181,0.03923863965532548,-0.2097242469976497,0.10474684505431267,False,True,False
smooth,20,101,201,301,0.3321088552474975,0.2936912178993225,0.3775651010278864,-0.03841763734817499,0.04545624578038887,-0.13080962251089367,0.12039313394336078,False,True,False
smooth,20,102,202,302,0.3067580461502075,0.2401845753192901,0.3419674686698012,-0.06657347083091741,0.03520942251959369,-0.27717629553195816,0.10296132160334641,False,True,False
smooth,20,103,203,303,0.3291158676147461,0.2699415683746338,0.3408764944721378,-0.059174299240112305,0.01176062685739171,-0.2192115115741947,0.034501137649879776,False,True,False
smooth,20,104,204,304,0.3829705417156219,0.3645452558994293,0.380776333075792,-0.01842528581619257,-0.0021942086398298866,-0.05054320559112072,-0.005762460660581912,False,False,False
smooth,20,105,205,305,0.3073071837425232,0.3049791753292084,0.3328275522897378,-0.0023280084133148193,0.025520368547214622,-0.007633335655793092,0.07667745164618542,False,True,False
smooth,40,101,201,301,0.3177453577518463,0.2997545897960663,0.3486903589984937,-0.01799076795578003,0.030945001246647397,-0.06001832354934011,0.08874636320753874,False,True,False
smooth,40,102,202,302,0.320194274187088,0.2546779215335846,0.3375999442240335,-0.06551635265350342,0.017405670036945486,-0.25725179575436313,0.05155708801123193,False,True,False
smooth,40,103,203,303,0.3344254195690155,0.2267909944057464,0.3506930001905757,-0.1076344251632691,0.016267580621560196,-0.4745974391324503,0.04638695557858289,False,True,False
smooth,40,104,204,304,0.3282971680164337,0.3179330825805664,0.3361940136126901,-0.01036408543586731,0.007896845596256363,-0.032598323369638575,0.023488953629477376,False,True,False
smooth,40,105,205,305,0.3024895191192627,0.2546111345291137,0.3411613574200185,-0.04787838459014898,0.03867183830075582,-0.1880451327421201,0.11335351281635701,False,True,False
smooth,80,101,201,301,0.3183062374591827,0.2829152345657348,0.3467040275827184,-0.035391002893447876,0.028397790123535716,-0.12509401604961942,0.08190787491431846,False,True,False
smooth,80,102,202,302,0.275347501039505,0.3136096596717834,0.3391282073884388,0.03826215863227839,0.06378070634893379,0.1220056763312797,0.18807254884545513,True,True,True
smooth,80,103,203,303,0.2888700664043426,0.2500313818454742,0.3437804399735988,-0.03883868455886841,0.05491037356925621,-0.15533523940955424,0.15972512448198956,False,True,False
smooth,80,104,204,304,0.3035716414451599,0.2542189955711365,0.3321283575517143,-0.04935264587402344,0.028556716106554414,-0.19413437521907526,0.08598096325487042,False,True,False
smooth,80,105,205,305,0.2802887260913849,0.2622853219509125,0.3208624877277741,-0.018003404140472412,0.040573761636389205,-0.06864053240402757,0.12645218181694323,False,True,False
smooth,100,101,201,301,0.2928628325462341,0.2759532928466797,0.3410205438992328,-0.016909539699554388,0.04815771135299873,-0.061276817990171144,0.1412164522476063,False,True,False
