model,n_train,n_fit,n_validation,seed,cohort_seed,subset_seed,model_seed,split,site_or_shift,metric,world,benchmark,ablation,ablated_value,ablated_parameters,full_value,full_parameters,raw_delta_ablated_minus_full,oriented_component_benefit
flow_jump_observation,10,8,2,204,104,204,304,test,all,coverage_90,misspecified,low_n,no_flow,0.7166695738124309,7642,0.7420392658487897,7642,-0.02536969203635875,0.02536969203635875
flow_jump,10,8,2,205,105,205,305,test,all,coverage_90,misspecified,low_n,no_flow,0.7035175879396985,6967,0.718513828987457,6967,-0.01499624104775843,0.01499624104775843
flow_jump_observation,10,8,2,205,105,205,305,test,all,coverage_90,misspecified,low_n,no_flow,0.7035373718988644,7642,0.7185533969057888,7642,-0.015016025006924338,0.015016025006924338
flow_jump,20,16,4,201,101,201,301,test,all,coverage_90,misspecified,low_n,no_flow,0.8612944537483992,6967,0.8028765638853315,6967,0.05841788986306773,-0.05841788986306773
flow_jump_observation,20,16,4,201,101,201,301,test,all,coverage_90,misspecified,low_n,no_flow,0.8604078415919614,7642,0.8089646340262043,7642,0.05144320756575704,-0.05144320756575704
flow_jump,20,16,4,202,102,202,302,test,all,coverage_90,misspecified,low_n,no_flow,0.9098026994916542,6967,0.9220925929532752,6967,-0.012289893461621015,-0.012289893461621015
flow_jump_observation,20,16,4,202,102,202,302,test,all,coverage_90,misspecified,low_n,no_flow,0.9093352550493738,7642,0.9209045049958124,7642,-0.011569249946438598,-0.011569249946438598
flow_jump,20,16,4,203,103,203,303,test,all,coverage_90,misspecified,low_n,no_flow,0.9234071352605628,6967,0.94175771052886,6967,-0.018350575268297198,-0.018350575268297198
flow_jump_observation,20,16,4,203,103,203,303,test,all,coverage_90,misspecified,low_n,no_flow,0.9238712172483804,7642,0.9418157207773372,7642,-0.017944503528956823,-0.017944503528956823
flow_jump,20,16,4,204,104,204,304,test,all,coverage_90,misspecified,low_n,no_flow,0.865360389169913,6967,0.8878229354419831,6967,-0.022462546272070116,0.022462546272070116
flow_jump_observation,20,16,4,204,104,204,304,test,all,coverage_90,misspecified,low_n,no_flow,0.8660774851251042,7642,0.887842316413745,7642,-0.021764831288640818,0.021764831288640818
flow_jump,20,16,4,205,105,205,305,test,all,coverage_90,misspecified,low_n,no_flow,0.8330827365172319,6967,0.8549835793138924,6967,-0.02190084279666049,0.02190084279666049
flow_jump_observation,20,16,4,205,105,205,305,test,all,coverage_90,misspecified,low_n,no_flow,0.8332410081905591,7642,0.8535987021722787,7642,-0.020357693981719605,0.020357693981719605
flow_jump,40,32,8,201,101,201,301,test,all,coverage_90,misspecified,low_n,no_flow,0.915141365382721,6967,0.9096443700128066,6967,0.005496995369914326,0.005496995369914326
flow_jump_observation,40,32,8,201,101,201,301,test,all,coverage_90,misspecified,low_n,no_flow,0.9161264900009852,7642,0.910570387153975,7642,0.005556102847010247,0.005556102847010247
flow_jump,40,32,8,202,102,202,302,test,all,coverage_90,misspecified,low_n,no_flow,0.938531055840134,6967,0.8622402274896286,6967,0.07629082835050538,0.0007712833297625066
