stage,world,cohort_seed,subset_seed,model_seed,n_train,n_fit,n_validation,model,variant,optimization_policy,split,site_or_shift,metric,value,trainable_parameters,backend
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_log_loss,0.1569488247793258,4156,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,latent_aligned_r2,0.2885170059071243,4156,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,mae,0.2660888433456421,4156,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,rmse,0.4291658008745713,4156,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_roc_auc,0.5089879054203922,4156,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_brier,0.034018722622475,4156,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_log_loss,0.1569488247793258,4156,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,latent_aligned_r2,0.2885170059071243,4156,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,mae,0.3035580515861511,3556,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,rmse,0.4945084782038501,3556,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_roc_auc,0.5308116237385422,3556,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_brier,0.0294278466040147,3556,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_log_loss,0.1362107111037811,3556,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,latent_aligned_r2,0.3265392410811055,3556,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,mae,0.3035580515861511,3556,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,rmse,0.4945084782038501,3556,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_roc_auc,0.5308116237385422,3556,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_brier,0.0294278466040147,3556,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_log_loss,0.1362107111037811,3556,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,latent_aligned_r2,0.3265392410811055,3556,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,mae,0.2477027922868728,4156,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,rmse,0.3957520472569386,4156,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_roc_auc,0.5103970265183791,4156,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_brier,0.0312625213827951,4156,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_log_loss,0.1453361946116324,4156,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,latent_aligned_r2,0.3287235009884182,4156,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,mae,0.2477027922868728,4156,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,rmse,0.3957520472569386,4156,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_roc_auc,0.5103970265183791,4156,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_brier,0.0312625213827951,4156,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_log_loss,0.1453361946116324,4156,torch
phase07,smooth,406,506,1105,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,latent_aligned_r2,0.3287235009884182,4156,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,mae,0.2840568721294403,3556,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,rmse,0.4574144827019794,3556,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_roc_auc,0.5385423239572901,3556,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_brier,0.0298795766973858,3556,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_log_loss,0.1365837168067381,3556,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,latent_aligned_r2,0.3377553603690837,3556,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,mae,0.2840568721294403,3556,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,rmse,0.4574144827019794,3556,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_roc_auc,0.5385423239572901,3556,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_brier,0.0298795766973858,3556,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_log_loss,0.1365837168067381,3556,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,latent_aligned_r2,0.3377553603690837,3556,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,mae,0.2478282451629638,4156,torch
phase07,smooth,406,506,1106,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,rmse,0.3989445321241556,4156,torch
