stage,world,cohort_seed,subset_seed,model_seed,n_train,Delta_MAE,control_mae,time_scaled_mae,control_selected_epoch,control_shadow_mae_epoch,control_stop_epoch,control_early_stop_reason,candidate_selected_epoch,candidate_shadow_mae_epoch,candidate_stop_epoch,candidate_early_stop_reason,control_prefix10_gradient_l2_mean,control_prefix10_parameter_l2_mean,control_prefix10_flow_displacement_mean,candidate_prefix10_gradient_l2_mean,candidate_prefix10_parameter_l2_mean,candidate_prefix10_flow_displacement_mean,delta_selected_epoch,delta_stop_epoch,delta_shadow_mae_epoch,control_selection_shadow_gap,candidate_selection_shadow_gap,delta_selection_shadow_gap,control_patience_exhausted,candidate_patience_exhausted,delta_patience_exhausted,delta_prefix10_gradient_l2_mean,delta_prefix10_parameter_l2_mean
d4b,smooth,403,503,1001,40,-0.0202966630458831,0.3178014755249023,0.3380981385707855,97,100,100,max_epochs_reached,34,46,46,patience_exhausted,1.180955421924591,7.010917091369629,0.0,1.0469744622707366,7.569124603271485,0.295431649684906,-63,-54,-54,-3,-12,-9,0,1,1,-0.13398095965385437,0.5582075119018555
d4b,smooth,403,503,1002,40,-0.0059461891651153,0.3254771530628204,0.3314233422279358,76,88,88,patience_exhausted,46,58,58,patience_exhausted,1.1563123703002929,7.008156967163086,0.0,1.4700228214263915,7.570576190948486,0.3228616505861282,-30,-30,-30,-12,-12,0,1,1,0,0.31371045112609863,0.5624192237854002
d4b,smooth,403,503,1003,40,-0.0102715790271759,0.3225033581256866,0.3327749371528625,72,84,84,patience_exhausted,35,46,47,patience_exhausted,1.1162688732147217,7.107655000686646,0.0,1.3615373730659486,7.704353666305542,0.4017509281635284,-37,-37,-38,-12,-11,1,1,1,0,0.2452684998512269,0.596698665618896
d4b,smooth,403,503,1004,40,-0.0083436965942382,0.3219310343265533,0.3302747309207916,82,94,94,patience_exhausted,41,44,53,patience_exhausted,1.0201642870903016,7.053647661209107,0.0,1.4745655059814453,7.676812791824341,0.303474685549736,-41,-41,-50,-12,-3,9,1,1,0,0.4544012188911437,0.6231651306152344
d4b,smooth,403,503,1005,40,-0.0028333365917205,0.3266021907329559,0.3294355273246765,94,100,100,max_epochs_reached,36,40,48,patience_exhausted,1.2737234234809875,6.995271873474121,0.0,1.1676522016525268,7.562619876861572,0.31583089828491206,-58,-52,-60,-6,-4,2,0,1,1,-0.10607122182846074,0.5673480033874512
d4b,smooth,403,503,1006,40,-0.0301219820976257,0.3257105052471161,0.3558324873447418,79,91,91,patience_exhausted,43,55,55,patience_exhausted,1.1086782217025757,7.057305383682251,0.0,1.250451397895813,7.613228178024292,0.32309804558753963,-36,-36,-36,-12,-12,0,1,1,0,0.14177317619323726,0.5559227943420408
d4b,smooth,403,503,1007,40,-0.0393809974193573,0.3187271952629089,0.3581081926822662,55,67,67,patience_exhausted,31,33,43,patience_exhausted,0.9274991989135742,7.155208492279053,0.0,1.0242693781852723,7.700951719284058,0.2929427146911621,-24,-24,-34,-12,-2,10,1,1,0,0.09677017927169806,0.5457432270050049
d4b,smooth,403,503,1008,40,-0.0285206139087677,0.3095883727073669,0.3381089866161346,100,100,100,max_epochs_reached,36,48,48,patience_exhausted,1.1466959238052368,7.131855916976929,0.0,1.3097504138946534,7.664573812484742,0.31133434772491453,-64,-52,-52,0,-12,-12,0,1,1,0.16305449008941664,0.5327178955078127
d4b,smooth,403,503,1009,40,-0.0140018463134765,0.326884001493454,0.3408858478069305,57,69,69,patience_exhausted,40,32,52,patience_exhausted,1.077560192346573,7.030487489700318,0.0,1.2664140343666077,7.587024831771851,0.3074327439069748,-17,-17,-37,-12,8,20,1,1,0,0.18885384202003475,0.5565373420715334
d4b,smooth,403,503,1010,40,0.0019157826900482,0.3247024118900299,0.3227866291999817,56,62,68,patience_exhausted,32,42,44,patience_exhausted,1.0283694982528686,6.969483041763306,0.0,1.2293206334114075,7.566760587692261,0.25488943159580224,-24,-24,-20,-6,-10,-4,1,1,0,0.2009511351585389,0.5972775459289545
