backend,cohort_seed,metric,model,model_seed,n_fit,n_train,n_validation,site_or_shift,split,stage,subset_seed,trainable_parameters,value,variant,world
torch,402,event_roc_auc,phase05_flow_jump,602,4,5,1,all,test,flow,502,4156,0.5030258098169408,time_scaled__none__deterministic,smooth
torch,402,event_brier,phase05_flow_jump,602,4,5,1,all,test,flow,502,4156,0.03311504966872642,time_scaled__none__deterministic,smooth
torch,402,event_log_loss,phase05_flow_jump,602,4,5,1,all,test,flow,502,4156,0.16995834563334786,time_scaled__none__deterministic,smooth
torch,402,latent_aligned_r2,phase05_flow_jump,602,4,5,1,all,test,flow,502,4156,0.21118344210502607,time_scaled__none__deterministic,smooth
torch,403,mae,phase05_flow_jump,603,8,10,2,all,test,flow,503,4804,0.32799574732780457,gated__none__deterministic,smooth
torch,403,rmse,phase05_flow_jump,603,8,10,2,all,test,flow,503,4804,0.5172806658774065,gated__none__deterministic,smooth
torch,403,event_roc_auc,phase05_flow_jump,603,8,10,2,all,test,flow,503,4804,0.48481124301292605,gated__none__deterministic,smooth
torch,403,event_brier,phase05_flow_jump,603,8,10,2,all,test,flow,503,4804,0.035088998582656274,gated__none__deterministic,smooth
torch,403,event_log_loss,phase05_flow_jump,603,8,10,2,all,test,flow,503,4804,0.163351373865609,gated__none__deterministic,smooth
torch,403,latent_aligned_r2,phase05_flow_jump,603,8,10,2,all,test,flow,503,4804,0.2674575557180535,gated__none__deterministic,smooth
torch,403,mae,phase05_flow_jump,603,8,10,2,all,test,flow,503,3556,0.3441533148288727,none__none__deterministic,smooth
torch,403,rmse,phase05_flow_jump,603,8,10,2,all,test,flow,503,3556,0.5628695863263912,none__none__deterministic,smooth
torch,403,event_roc_auc,phase05_flow_jump,603,8,10,2,all,test,flow,503,3556,0.5056954694931424,none__none__deterministic,smooth
torch,403,event_brier,phase05_flow_jump,603,8,10,2,all,test,flow,503,3556,0.033371465119236866,none__none__deterministic,smooth
torch,403,event_log_loss,phase05_flow_jump,603,8,10,2,all,test,flow,503,3556,0.15025514518189848,none__none__deterministic,smooth
torch,403,latent_aligned_r2,phase05_flow_jump,603,8,10,2,all,test,flow,503,3556,0.3005074305554881,none__none__deterministic,smooth
torch,403,mae,phase05_flow_jump,603,8,10,2,all,test,flow,503,4156,0.3471214175224304,time_scaled__none__deterministic,smooth
torch,403,rmse,phase05_flow_jump,603,8,10,2,all,test,flow,503,4156,0.572333686608924,time_scaled__none__deterministic,smooth
torch,403,event_roc_auc,phase05_flow_jump,603,8,10,2,all,test,flow,503,4156,0.507959738472819,time_scaled__none__deterministic,smooth
torch,403,event_brier,phase05_flow_jump,603,8,10,2,all,test,flow,503,4156,0.034261706883931736,time_scaled__none__deterministic,smooth
torch,403,event_log_loss,phase05_flow_jump,603,8,10,2,all,test,flow,503,4156,0.1540911242612097,time_scaled__none__deterministic,smooth
torch,403,latent_aligned_r2,phase05_flow_jump,603,8,10,2,all,test,flow,503,4156,0.29917858555943394,time_scaled__none__deterministic,smooth
torch,403,mae,phase05_flow_jump,603,16,20,4,all,test,flow,503,4804,0.2549300789833069,gated__none__deterministic,smooth
torch,403,rmse,phase05_flow_jump,603,16,20,4,all,test,flow,503,4804,0.39608543507653543,gated__none__deterministic,smooth
torch,403,event_roc_auc,phase05_flow_jump,603,16,20,4,all,test,flow,503,4804,0.5054453691080718,gated__none__deterministic,smooth
torch,403,event_brier,phase05_flow_jump,603,16,20,4,all,test,flow,503,4804,0.03364329391827285,gated__none__deterministic,smooth
torch,403,event_log_loss,phase05_flow_jump,603,16,20,4,all,test,flow,503,4804,0.15587046641261493,gated__none__deterministic,smooth
torch,403,latent_aligned_r2,phase05_flow_jump,603,16,20,4,all,test,flow,503,4804,0.2729050793348777,gated__none__deterministic,smooth
torch,403,mae,phase05_flow_jump,603,16,20,4,all,test,flow,503,3556,0.30315300822257996,none__none__deterministic,smooth
torch,403,rmse,phase05_flow_jump,603,16,20,4,all,test,flow,503,3556,0.48098691276245387,none__none__deterministic,smooth
torch,403,event_roc_auc,phase05_flow_jump,603,16,20,4,all,test,flow,503,3556,0.5005552796223625,none__none__deterministic,smooth
torch,403,event_brier,phase05_flow_jump,603,16,20,4,all,test,flow,503,3556,0.03199337723595301,none__none__deterministic,smooth
torch,403,event_log_loss,phase05_flow_jump,603,16,20,4,all,test,flow,503,3556,0.14299861332562452,none__none__deterministic,smooth
torch,403,latent_aligned_r2,phase05_flow_jump,603,16,20,4,all,test,flow,503,3556,0.3544137858569208,none__none__deterministic,smooth
torch,403,mae,phase05_flow_jump,603,16,20,4,all,test,flow,503,4156,0.2654244601726532,time_scaled__none__deterministic,smooth
torch,403,rmse,phase05_flow_jump,603,16,20,4,all,test,flow,503,4156,0.42337092337209786,time_scaled__none__deterministic,smooth
torch,403,event_roc_auc,phase05_flow_jump,603,16,20,4,all,test,flow,503,4156,0.5104998328592169,time_scaled__none__deterministic,smooth
torch,403,event_brier,phase05_flow_jump,603,16,20,4,all,test,flow,503,4156,0.03313878439153433,time_scaled__none__deterministic,smooth
torch,403,event_log_loss,phase05_flow_jump,603,16,20,4,all,test,flow,503,4156,0.15748287846203785,time_scaled__none__deterministic,smooth
torch,403,latent_aligned_r2,phase05_flow_jump,603,16,20,4,all,test,flow,503,4156,0.31820277343288345,time_scaled__none__deterministic,smooth
torch,403,mae,phase05_flow_jump,603,32,40,8,all,test,flow,503,4804,0.370146244764328,gated__none__deterministic,smooth
torch,403,rmse,phase05_flow_jump,603,32,40,8,all,test,flow,503,4804,0.5538696922645401,gated__none__deterministic,smooth
torch,403,event_roc_auc,phase05_flow_jump,603,32,40,8,all,test,flow,503,4804,0.4969120273242844,gated__none__deterministic,smooth
torch,403,event_brier,phase05_flow_jump,603,32,40,8,all,test,flow,503,4804,0.04735156581239024,gated__none__deterministic,smooth
torch,403,event_log_loss,phase05_flow_jump,603,32,40,8,all,test,flow,503,4804,0.2012127154672928,gated__none__deterministic,smooth
torch,403,latent_aligned_r2,phase05_flow_jump,603,32,40,8,all,test,flow,503,4804,0.25202033704553506,gated__none__deterministic,smooth
torch,403,mae,phase05_flow_jump,603,32,40,8,all,test,flow,503,3556,0.32861074805259705,none__none__deterministic,smooth
torch,403,rmse,phase05_flow_jump,603,32,40,8,all,test,flow,503,3556,0.5289041110605465,none__none__deterministic,smooth
torch,403,event_roc_auc,phase05_flow_jump,603,32,40,8,all,test,flow,503,3556,0.5093938365722428,none__none__deterministic,smooth
torch,403,event_brier,phase05_flow_jump,603,32,40,8,all,test,flow,503,3556,0.03502627649148199,none__none__deterministic,smooth
torch,403,event_log_loss,phase05_flow_jump,603,32,40,8,all,test,flow,503,3556,0.15849464240798766,none__none__deterministic,smooth
torch,403,latent_aligned_r2,phase05_flow_jump,603,32,40,8,all,test,flow,503,3556,0.32973362842602605,none__none__deterministic,smooth
torch,403,mae,phase05_flow_jump,603,32,40,8,all,test,flow,503,4156,0.3433723747730255,time_scaled__none__deterministic,smooth
torch,403,rmse,phase05_flow_jump,603,32,40,8,all,test,flow,503,4156,0.5545316127884474,time_scaled__none__deterministic,smooth
torch,403,event_roc_auc,phase05_flow_jump,603,32,40,8,all,test,flow,503,4156,0.5278292637498803,time_scaled__none__deterministic,smooth
torch,403,event_brier,phase05_flow_jump,603,32,40,8,all,test,flow,503,4156,0.04381207125084554,time_scaled__none__deterministic,smooth
torch,403,event_log_loss,phase05_flow_jump,603,32,40,8,all,test,flow,503,4156,0.19286573723628392,time_scaled__none__deterministic,smooth
torch,403,latent_aligned_r2,phase05_flow_jump,603,32,40,8,all,test,flow,503,4156,0.284397152175538,time_scaled__none__deterministic,smooth
torch,403,mae,phase05_flow_jump,603,4,5,1,all,test,flow,503,4804,0.46629035472869873,gated__none__deterministic,smooth
torch,403,rmse,phase05_flow_jump,603,4,5,1,all,test,flow,503,4804,0.7369457457460195,gated__none__deterministic,smooth
torch,403,event_roc_auc,phase05_flow_jump,603,4,5,1,all,test,flow,503,4804,0.49892842350456423,gated__none__deterministic,smooth
torch,403,event_brier,phase05_flow_jump,603,4,5,1,all,test,flow,503,4804,0.03466365989421775,gated__none__deterministic,smooth
torch,403,event_log_loss,phase05_flow_jump,603,4,5,1,all,test,flow,503,4804,0.18882195399290633,gated__none__deterministic,smooth
torch,403,latent_aligned_r2,phase05_flow_jump,603,4,5,1,all,test,flow,503,4804,0.22313220459665378,gated__none__deterministic,smooth
torch,403,mae,phase05_flow_jump,603,4,5,1,all,test,flow,503,3556,0.4365130662918091,none__none__deterministic,smooth
torch,403,rmse,phase05_flow_jump,603,4,5,1,all,test,flow,503,3556,0.7148024333416123,none__none__deterministic,smooth
torch,403,event_roc_auc,phase05_flow_jump,603,4,5,1,all,test,flow,503,3556,0.5391434947456284,none__none__deterministic,smooth
torch,403,event_brier,phase05_flow_jump,603,4,5,1,all,test,flow,503,3556,0.031606899219220996,none__none__deterministic,smooth
torch,403,event_log_loss,phase05_flow_jump,603,4,5,1,all,test,flow,503,3556,0.13854552355659114,none__none__deterministic,smooth
torch,403,latent_aligned_r2,phase05_flow_jump,603,4,5,1,all,test,flow,503,3556,0.24291027627901757,none__none__deterministic,smooth
torch,403,mae,phase05_flow_jump,603,4,5,1,all,test,flow,503,4156,0.4521443545818329,time_scaled__none__deterministic,smooth
torch,403,rmse,phase05_flow_jump,603,4,5,1,all,test,flow,503,4156,0.7455782482521973,time_scaled__none__deterministic,smooth
