candidate,control,cohort_seed,subset_seed,model_seed,n_train,metric,candidate_value,control_value,effect,candidate_better
gated,none,403,503,603,20,rmse,0.39608543507653543,0.48098691276245387,0.08490147768591844,True
gated,none,403,503,603,40,event_brier,0.04735156581239024,0.03502627649148199,-0.012325289320908248,False
gated,none,403,503,603,40,event_log_loss,0.2012127154672928,0.15849464240798766,-0.04271807305930514,False
gated,none,403,503,603,40,event_roc_auc,0.4969120273242844,0.5093938365722428,-0.012481809247958386,False
gated,none,403,503,603,40,latent_aligned_r2,0.25202033704553506,0.32973362842602605,-0.07771329138049099,False
gated,none,403,503,603,40,mae,0.370146244764328,0.32861074805259705,-0.04153549671173096,False
gated,none,403,503,603,40,rmse,0.5538696922645401,0.5289041110605465,-0.024965581203993614,False
gated,none,404,504,604,5,event_brier,0.028293501944511655,0.02993229701323515,0.001638795068723494,True
gated,none,404,504,604,5,event_log_loss,0.18104006002643022,0.13471470636136992,-0.0463253536650603,False
gated,none,404,504,604,5,event_roc_auc,0.5008630330957353,0.4759149526803786,0.024948080415356733,True
gated,none,404,504,604,5,latent_aligned_r2,0.20954357896528852,0.2740743256939075,-0.06453074672861897,False
gated,none,404,504,604,5,mae,0.3676221966743469,0.33313217759132385,-0.03449001908302307,False
gated,none,404,504,604,5,rmse,0.5491284671989201,0.5177941213510567,-0.03133434584786332,False
gated,none,404,504,604,10,event_brier,0.027919552356223874,0.02966212923293996,0.0017425768767160878,True
gated,none,404,504,604,10,event_log_loss,0.15021662548076858,0.13369342973962473,-0.01652319574114386,False
gated,none,404,504,604,10,event_roc_auc,0.4943078855369157,0.4927898976808186,0.0015179878560970805,True
gated,none,404,504,604,10,latent_aligned_r2,0.2414836062707389,0.28087421638493504,-0.039390610114196145,False
gated,none,404,504,604,10,mae,0.3436090648174286,0.33222880959510803,-0.011380255222320557,False
gated,none,404,504,604,10,rmse,0.5160030366342483,0.5161904788861437,0.00018744225189537556,True
gated,none,404,504,604,20,event_brier,0.032986408740204795,0.030823144689995634,-0.0021632640502091613,False
gated,none,404,504,604,20,event_log_loss,0.1493278657194128,0.14230042797050502,-0.007027437748907794,False
gated,none,404,504,604,20,event_roc_auc,0.4997267621859025,0.4789329285365717,0.020793833649330795,True
gated,none,404,504,604,20,latent_aligned_r2,0.2634244412172733,0.2836145000507806,-0.020190058833507274,False
gated,none,404,504,604,20,mae,0.33464738726615906,0.3167527914047241,-0.017894595861434937,False
gated,none,404,504,604,20,rmse,0.5037558870941793,0.48536979901997374,-0.018386088074205553,False
gated,none,404,504,604,40,event_brier,0.043461571476385595,0.03128219768089797,-0.012179373795487627,False
gated,none,404,504,604,40,event_log_loss,0.19208053917290996,0.1462381338164166,-0.045842405356493365,False
gated,none,404,504,604,40,event_roc_auc,0.4977061783505732,0.4881032151742786,0.009602963176294554,True
gated,none,404,504,604,40,latent_aligned_r2,0.23772857614965537,0.31365235471454,-0.07592377856488464,False
gated,none,404,504,604,40,mae,0.3713974058628082,0.29740458726882935,-0.07399281859397888,False
gated,none,404,504,604,40,rmse,0.542098438742507,0.4531405216057895,-0.08895791713671747,False
gated,none,405,505,605,5,event_brier,0.035488782494147615,0.029706601422367373,-0.005782181071780242,False
gated,none,405,505,605,5,event_log_loss,0.16465123825126135,0.14005869337863794,-0.024592544872623412,False
gated,none,405,505,605,5,event_roc_auc,0.5092040907945309,0.478450695329653,0.030753395464877875,True
gated,none,405,505,605,5,latent_aligned_r2,0.262344195656768,0.3389808105107769,-0.07663661485400891,False
