cohort_seed,subset_seed,model_seed,mae_control_standard,mae_time_scaled_standard,mae_control_forced,mae_time_scaled_forced,Delta_standard,Delta_forced,G,H_time_scaled,H_control
409,509,1108,0.3095525205135345,0.2751272916793823,0.3095525205135345,0.2751272916793823,0.034425228834152166,0.034425228834152166,0.0,0.0,0.0
409,509,1109,0.3004445135593414,0.2922625541687011,0.3004445135593414,0.2922625541687011,0.008181959390640259,0.008181959390640259,0.0,0.0,0.0
409,509,1110,0.3061538338661194,0.2971019744873047,0.3061538338661194,0.2971019744873047,0.009051859378814697,0.009051859378814697,0.0,0.0,0.0
410,510,1101,0.290360540151596,0.2718669474124908,0.290360540151596,0.2718669474124908,0.018493592739105225,0.018493592739105225,0.0,0.0,0.0
410,510,1102,0.2923372983932495,0.2600552141666412,0.2923372983932495,0.2600552141666412,0.03228208422660833,0.03228208422660833,0.0,0.0,0.0
410,510,1103,0.2791101932525635,0.2616722881793976,0.2791101932525635,0.2616722881793976,0.017437905073165894,0.017437905073165894,0.0,0.0,0.0
410,510,1104,0.2790423035621643,0.2727780640125274,0.2790423035621643,0.2727780640125274,0.006264239549636896,0.006264239549636896,0.0,0.0,0.0
410,510,1105,0.290556788444519,0.2465454488992691,0.290556788444519,0.2465454488992691,0.04401133954524988,0.04401133954524988,0.0,0.0,0.0
410,510,1106,0.2744841277599334,0.2448126226663589,0.2744841277599334,0.2448126226663589,0.029671505093574524,0.029671505093574524,0.0,0.0,0.0
410,510,1107,0.2864367663860321,0.2559018433094024,0.2864367663860321,0.2559018433094024,0.030534923076629694,0.030534923076629694,0.0,0.0,0.0
410,510,1108,0.306451141834259,0.2619942426681518,0.306451141834259,0.2619942426681518,0.04445689916610718,0.04445689916610718,0.0,0.0,0.0
410,510,1109,0.2780282497406006,0.265542060136795,0.2780282497406006,0.265542060136795,0.012486189603805598,0.012486189603805598,0.0,0.0,0.0
410,510,1110,0.2871918082237243,0.2740320861339569,0.2871918082237243,0.2740320861339569,0.0131597220897674,0.0131597220897674,0.0,0.0,0.0
