model,ablation,n_train,n_fit,n_validation,seed,cohort_seed,subset_seed,model_seed,split,site_or_shift,metric,value,trainable_parameters,backend,world,benchmark
flow_jump,no_representation,10,8,2,201,101,201,301,test,all,latent_aligned_r2,0.6174859070337346,5815,,informative_observation,low_n
flow_jump,no_representation,10,8,2,201,101,201,301,test,all,mae,0.8899897933006287,5815,,informative_observation,low_n
flow_jump,no_representation,10,8,2,201,101,201,301,test,all,nll,1.4637955171507995,5815,,informative_observation,low_n
flow_jump,no_representation,10,8,2,201,101,201,301,test,all,rmse,1.6020827774159327,5815,,informative_observation,low_n
flow_jump,none,10,8,2,201,101,201,301,test,all,coverage_90,0.9617623021867803,6967,,informative_observation,low_n
flow_jump,none,10,8,2,201,101,201,301,test,all,event_brier,0.16405529113637066,6967,,informative_observation,low_n
flow_jump,none,10,8,2,201,101,201,301,test,all,event_log_loss,0.5150118258004429,6967,,informative_observation,low_n
flow_jump,none,10,8,2,201,101,201,301,test,all,event_roc_auc,0.5167339750838424,6967,,informative_observation,low_n
flow_jump,none,10,8,2,201,101,201,301,test,all,latent_aligned_r2,0.5810625356096976,6967,,informative_observation,low_n
flow_jump,none,10,8,2,201,101,201,301,test,all,mae,0.6535772085189819,6967,,informative_observation,low_n
flow_jump,none,10,8,2,201,101,201,301,test,all,nll,0.8949835026550776,6967,,informative_observation,low_n
flow_jump,none,10,8,2,201,101,201,301,test,all,rmse,1.1885562515812673,6967,,informative_observation,low_n
flow_jump_observation,no_flow,10,8,2,201,101,201,301,test,all,coverage_90,0.9282052552069144,7642,,informative_observation,low_n
flow_jump_observation,no_flow,10,8,2,201,101,201,301,test,all,event_brier,0.12447202789331763,7642,,informative_observation,low_n
flow_jump_observation,no_flow,10,8,2,201,101,201,301,test,all,event_log_loss,0.4180710316027521,7642,,informative_observation,low_n
flow_jump_observation,no_flow,10,8,2,201,101,201,301,test,all,event_roc_auc,0.4992608959578443,7642,,informative_observation,low_n
flow_jump_observation,no_flow,10,8,2,201,101,201,301,test,all,latent_aligned_r2,0.6092518047663241,7642,,informative_observation,low_n
flow_jump_observation,no_flow,10,8,2,201,101,201,301,test,all,mae,0.5502300262451172,7642,,informative_observation,low_n
flow_jump_observation,no_flow,10,8,2,201,101,201,301,test,all,nll,0.7920786594250658,7642,,informative_observation,low_n
flow_jump_observation,no_flow,10,8,2,201,101,201,301,test,all,rmse,0.9840157171075775,7642,,informative_observation,low_n
flow_jump_observation,no_jump,10,8,2,201,101,201,301,test,all,coverage_90,0.9303598405111568,5554,,informative_observation,low_n
flow_jump_observation,no_jump,10,8,2,201,101,201,301,test,all,event_brier,0.13601171401692796,5554,,informative_observation,low_n
flow_jump_observation,no_jump,10,8,2,201,101,201,301,test,all,event_log_loss,0.44650460126661967,5554,,informative_observation,low_n
flow_jump_observation,no_jump,10,8,2,201,101,201,301,test,all,event_roc_auc,0.5011475811154961,5554,,informative_observation,low_n
flow_jump_observation,no_jump,10,8,2,201,101,201,301,test,all,latent_aligned_r2,0.5760934136625501,5554,,informative_observation,low_n
flow_jump_observation,no_jump,10,8,2,201,101,201,301,test,all,mae,0.6445279717445374,5554,,informative_observation,low_n
flow_jump_observation,no_jump,10,8,2,201,101,201,301,test,all,nll,1.0574591718715523,5554,,informative_observation,low_n
flow_jump_observation,no_jump,10,8,2,201,101,201,301,test,all,rmse,1.1512053475434016,5554,,informative_observation,low_n
flow_jump_observation,no_observation_head,10,8,2,201,101,201,301,test,all,coverage_90,0.9617623021867803,6967,,informative_observation,low_n
flow_jump_observation,no_observation_head,10,8,2,201,101,201,301,test,all,event_brier,0.16405529113637066,6967,,informative_observation,low_n
